if know baby airway obstruction perform first aid choking know cognize cognise know know baby child baby baby air_lane flight_path airway respiratory_tract airway airline airline_business airway obstruction blockage obstacle obstruction obstruction perform perform do perform first number_one number_1 beginning commencement first first_base first aid assist assistance aid economic_aid financial_aid care attention aid choking strangling strangulation choke choke gag fret,1.0
if nt know baby nt breathing perform cpr know cognize cognise know know baby child baby baby breathe take_a_breath respire breathe breathe perform perform do perform,2.0
examine situation stroke baby watch response movement nt shake baby examine see probe examine examine situation position situation site situation throw stroke cam_stroke stroke apoplexy cerebrovascular_accident stroke baby child baby baby watch watch vigil watch reaction response answer reply response reception response motion movement move movement motion movement social_movement front milkshake milk_shake shake trill shake handshake shake handshaking baby child baby baby,3.0
if response follow c a b procedures baby age except newborns includes babies weeks old time call help follows reaction response answer reply response reception response postdate follow follow fall_out follow travel_along speed_of_light light_speed c vitamin_C C ascorbic_acid deoxycytidine_monophosphate C vitamin_A antiophthalmic_factor axerophthol deoxyadenosine_monophosphate A adenine A B-complex_vitamin B_complex vitamin_B_complex boron B atomic_number_5 Bel B operation procedure routine subroutine subprogram procedure baby child baby baby historic_period age age eld long_time age years exclude except leave_out include include admit let_in include baby child baby baby workweek week week calendar_week old old old time time time Call cry outcry call call claim assistant helper help aid assistance help avail help service postdate follow follow fall_out follow travel_along,4.0
if re rescuer nt see baby collapse cpr two minutes — five cycles — calling local emergency number getting aed if see baby collapse call local emergency number get aed one available beginning cpr Ra Re re ray rescuer recoverer saver see understand realize realise witness find see baby child baby baby collapse flop collapse crash collapse deuce two two 2 ii minute min moment mo minute moment minute second basketball_team five five-spot five five 5 v cycle cycle hertz Hz cycle_per_second name call call call telephone call_up local_anesthetic local_anaesthetic local local local emergency hand_brake emergency emergency_brake number act routine number phone_number telephone_number number get acquire become go get get let have see understand realize realise witness find see baby child baby baby collapse flop collapse crash collapse Call cry outcry call call claim local_anesthetic local_anaesthetic local local local emergency hand_brake emergency emergency_brake number act routine number phone_number telephone_number number get acquire become go get get let have one one 1 i one unitary available uncommitted available usable useable beginning commencement first beginning beginning origin root,5.0
if another person available person call help immediately get aed attend baby person person available uncommitted available usable useable person person Call cry outcry call call claim assistant helper help aid assistance help avail help service immediately immediately get acquire become go get get let have attend take_care look attend serve attend_to wait_on baby child baby baby,6.0
place baby back firm flat surface table the floor ground also place property place place baby child baby baby rear back back rear back tauten firm tauten firm firm steadfast steady flat flat flatcar flatbed flat surface surface Earth's_surface surface table table mesa table floor level storey floor base floor reason ground earth ground footing basis ground,7.0
imagine horizontal line drawn baby nipples place two fingers one hand line center chest think opine suppose horizontal line line line reap draw trace draw line draw make baby child baby baby nipple place property place place deuce two two 2 ii finger fingerbreadth finger's_breadth finger finger thumb one one 1 i one unitary hired_hand hand hired_man handwriting hand script hand line line line center_field centerfield center center centre center centre midpoint chest breast chest chest_of_drawers chest bureau,8.0
gently compress chest 5 inches centimeters gently mildly lightly softly gently compress compact pack_together compress constrict squeeze chest breast chest chest_of_drawers chest bureau five 5 v column_inch inch edge inch,9.0
count aloud pump fairly rapid rhythm you pump rate 120 compressions minute count counting numeration count count number enumerate loudly loud aloud heart pump ticker pump pump fairly fair evenhandedly fairly fair clean rapid rapid speedy rhythm regular_recurrence cycle rhythm round rhythm speech_rhythm heart pump ticker pump pump rate charge_per_unit pace rate rate one_hundred_twenty 120 cxx compression condensation contraction compression compression compressing moment mo minute moment minute second minute arcminute minute_of_arc,10.0
